title,card_img,price,categories,age,company,company_link,address
Міський табір для підлітків,,8 900 грн за курс (За п'ять днів табору.),Позашкільна освіта - Табір.,"Середня школа, студенти.","Майбутні, демократична школа",/courses/company/33927/,"вул. Турівська, 12, м. Київ"
"Англійська мова, індивідуально та в групах",/upload/logos/courses_companies/00002876_1.jpg,195 грн за заняття,Мовні - Англійська мова; Науки та підготовка до ЗНО/НМТ - Мова.,"Дошкільники, молодша школа, середня школа, студенти, дорослі, пенсіонери.","Еліт-Голд, навчальний центр",/courses/company/2876/,Онлайн
"Бухгалтерський облік оподаткування, 1С Бухгалтерія 8.3",/upload/logos/courses_companies/00000312_1.png,8 840 грн за курс,"Професійні, підвищення кваліфікації - Бізнес планування, аналітика, Економіка, бухгалтерія та облік, Фінанси, страхування.","Студенти, дорослі.","Атлант, навчально-консультаційний центр",/courses/company/312/,"вул. Виконкомівська, 24, оф. 22, м. Дніпро"
"QA тестування, стань тестувальником, QA engineer",/upload/logos/courses_companies/00033366_1.png,15 300 грн за курс,"Інформаційні технології, IT - Програмування, розробка.","Студенти, дорослі.","Lemon.School, IT-курси",/courses/company/33366/,Онлайн
"Англійська мова, базова",/upload/logos/courses_companies/00005513_1.png,380 грн за заняття (при оплаті на 50 занять),Мовні - Англійська мова.,"Молодша школа, середня школа, студенти, дорослі, пенсіонери.","Englishdom, школа англійської мови",/courses/company/5513/,Онлайн
"Cisco CCNA, списки контролю доступу, ACLs",/upload/logos/courses_companies/00004500_1.png,"300 грн за заняття (для уточнення вартості, звертайтеся до менеджера)","Інформаційні технології, IT - Системне адміністрування.","Студенти, дорослі.","Cisco, мережна академія",/courses/company/4500/,Онлайн
СММ з нуля до майстера рівня,/upload/logos/courses_companies/00001736_1.png,1 340 грн за курс (30 занять),"Професійні, підвищення кваліфікації - Digital marketing, SMM, SEO.","Студенти, дорослі.","SPE, хаб розвитку навичок",/courses/company/1736/,Онлайн
Рівень навчальних досягнень,/upload/logos/courses_companies/00034180_1.png,700 грн за заняття,"Розвиток дітей - Дошкільна освіта, Початкова школа.","Дошкільники, молодша школа.",Vixon school,/courses/company/34180/,Онлайн
Графічний дизайн для дітей,/upload/logos/courses_companies/00033799_1.png,1 600 грн,"Інформаційні технології, IT - Графічний дизайн; Мистецтво, творчість - Художня школа, образотворче мистецтво.","Середня школа, студенти.",Optima Academy,/courses/company/33799/,Онлайн
SEO beginning,/upload/logos/courses_companies/00030328_1.png,18 000 грн за курс,"Професійні, підвищення кваліфікації - Digital marketing, SMM, SEO, Маркетинг, реклама, PR.","Студенти, дорослі, пенсіонери.",Projector,/courses/company/30328/,Онлайн
Дизайн інтер'єру,/upload/logos/courses_companies/00029259_6.jpg,29 800 грн за курс (4 місяці),"Мистецтво, творчість - Дизайн інтер'єру, архітектура, декор.","Студенти, дорослі.","ArtDesign, школа дизайну і графіки",/courses/company/29259/,Онлайн
Java Basic,/upload/logos/courses_companies/00005586_3.png,7 200 грн за курс (16 занять),"Інформаційні технології, IT - Програмування, розробка.","Студенти, дорослі.",Hillel IT School,/courses/company/5586/,Онлайн
"Дизайн інтер'єру, професіонал",/upload/logos/courses_companies/00000914_1.png,15 000 грн на місяць (135 000 грн./весь курс),"Мистецтво, творчість - Дизайн інтер'єру, архітектура, декор.","Студенти, дорослі.",Європейська школа дизайну,/courses/company/914/,"вул. Блакитного, 1, м. Київ"
"Комп'ютерна грамотність, для пенсіонерів",/upload/logos/courses_companies/00008476_1.png,3 000 грн за курс (у групі),"Інформаційні технології, IT - Комп'ютерна грамотність.",Пенсіонери.,"Інновації, навчальний центр",/courses/company/8476/,"вул. Шептицького, 10, ст. м. Лівобережна, оф. 12; вул. Велика Васильківська, 21, ст. м. Пл. укр. Героїв (Льва Толстого), оф. 402, м. Київ"
"Англійська мова в міні-групі для дорослих, онлайн",/upload/logos/courses_companies/00005163_1.png,140 грн за заняття,Мовні - Англійська мова.,"Дорослі, пенсіонери.",SkyLingua,/courses/company/5163/,Онлайн
N/A,/upload/logos/courses_companies/00001756_1.png,,,,,,
Робототехніка для дітей від 8 років,,1 500 грн на місяць,"Інформаційні технології, IT - Комп'ютерна грамотність, Програмування, розробка, Робототехніка.","Молодша школа, середня школа.","Robocode, культова школа робототехніки і програмування",/courses/company/34520/,"вул. Варшавська, 3А, м. Нетішин"
Розробка сайтів для дітей від 10 років,,1 500 грн на місяць (Онлайн 1600 грн),"Інформаційні технології, IT - Front end, верстка, Комп'ютерна грамотність, Програмування, розробка.",Середня школа.,"Robocode, культова школа робототехніки і програмування",/courses/company/34519/,"вул. Севастопольська, 58А, м. Сміла"
Робототехніка для дітей від 8 років,,1 500 грн на місяць (Онлайн 1600 грн),"Інформаційні технології, IT - Комп'ютерна грамотність, Програмування, розробка, Робототехніка.","Молодша школа, середня школа.","Robocode, культова школа робототехніки і програмування",/courses/company/34518/,"вул. Б. Хмельницького, 18, м. Переяслав (Бориспільський район)"
Розробка ігор для дітей від 9 років,,1 500 грн на місяць (Онлайн 1600 грн),"Інформаційні технології, IT - Комп'ютерна грамотність, Програмування, розробка.","Молодша школа, середня школа.","Robocode, культова школа робототехніки і програмування",/courses/company/34517/,"вул. Богачевського, 34, м. Сквира"
Робототехніка для дітей від 8 років,,1 500 грн на місяць,"Інформаційні технології, IT - Комп'ютерна грамотність, Робототехніка.","Молодша школа, середня школа.","Robocode, культова школа робототехніки і програмування",/courses/company/34516/,"вул. Росавська, 24, м. Кагарлик"
